tailnum,type,manufacturer,issue_date,model,status,aircraft_type,engine_type,year
N14214,Corporation,BOEING,07/27/1998,737-824,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N14219,Corporation,BOEING,08/28/1998,737-824,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N14230,Corporation,BOEING,06/17/1999,737-824,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N14231,Corporation,BOEING,06/22/1999,737-824,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N14237,Corporation,BOEING,09/22/1999,737-824,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N14242,Corporation,BOEING,10/26/1999,737-824,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N14250,Corporation,BOEING,06/02/2000,737-824,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N14308,Corporation,BOEING,09/24/1985,737-3TO,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1985
N14320,Corporation,BOEING,02/17/2004,737-3TO,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1986
N14324,Corporation,BOEING,07/01/1997,737-3TO,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1986
N14325,Corporation,BOEING,05/21/2008,737-3TO,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1986
N14334,Corporation,BOEING,09/02/1997,737-3TO,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1986
N14335,Corporation,BOEING,09/02/1997,737-3TO,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1986
N14336,Corporation,BOEING,06/20/2007,737-3TO,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1987
N14337,Corporation,BOEING,04/17/2007,737-3TO,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1987
N14341,Corporation,BOEING,04/17/2007,737-3TO,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1987
N14342,Corporation,BOEING,04/17/2007,737-3TO,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1987
N14346,Corporation,BOEING,09/15/1987,737-3TO,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1987
N14347,Corporation,BOEING,10/16/1987,737-3TO,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1987
N14358,Corporation,BOEING,03/22/2001,737-3TO,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1988
N143DA,Corporation,BOEING,10/16/1998,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N144DA,Corporation,BOEING,05/14/1999,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N14505,Corporation,EMBRAER,10/31/2000,EMB-135ER,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1999
N14508,Corporation,EMBRAER,11/01/2000,EMB-135ER,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2000
N14514,Corporation,EMBRAER,10/31/2000,EMB-135LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N14516,Corporation,EMBRAER,10/31/2000,EMB-135LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N14522,Corporation,EMBRAER,02/07/2001,EMB-135LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N14542,Corporation,EMBRAER,05/30/2002,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N14543,Corporation,EMBRAER,05/30/2002,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N14558,Corporation,EMBRAER,05/29/2002,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,None
N14562,Corporation,EMBRAER,06/27/2002,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N14568,Corporation,EMBRAER,06/24/2003,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N14570,Corporation,EMBRAER,06/24/2003,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N14573,Corporation,EMBRAER,10/01/2002,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N14601,Corporation,BOEING,02/11/1994,737-524,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1994
N14604,Corporation,BOEING,02/16/1994,737-524,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1994
N14605,Corporation,BOEING,03/02/1994,737-524,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1994
N14609,Corporation,BOEING,05/05/1994,737-524,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1994
N14613,Corporation,BOEING,07/26/1994,737-524,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1994
N14628,Corporation,BOEING,04/19/1995,737-524,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1995
N14629,Corporation,BOEING,05/30/1995,737-524,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1965
N14639,Corporation,BOEING,08/01/1997,737-524,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1997
N14645,Corporation,BOEING,10/01/1997,737-524,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1997
N14652,Corporation,BOEING,01/23/1998,737-524,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N14653,Corporation,BOEING,01/27/1998,737-524,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N14654,Corporation,BOEING,02/11/1998,737-524,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N14655,Corporation,BOEING,02/12/1998,737-524,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N14664,Corporation,BOEING,05/15/2008,737-524,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N14667,Corporation,BOEING,10/01/1998,737-524,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N14668,Corporation,BOEING,10/20/1998,737-524,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N14704,Corporation,BOEING,04/27/1998,737-724,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1998
N14731,Corporation,BOEING,09/30/1999,737-724,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1999
N14735,Corporation,BOEING,09/23/1999,737-724,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1999
N14902,Corporation,EMBRAER,07/03/2002,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N14904,Corporation,EMBRAER,07/03/2002,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N14905,Corporation,EMBRAER,07/03/2002,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N14907,Corporation,EMBRAER,05/31/2002,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N14916,Corporation,EMBRAER,04/19/2001,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N14920,Corporation,EMBRAER,01/30/2001,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N14923,Corporation,EMBRAER,10/30/2000,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N14925,Corporation,EMBRAER,11/29/1997,EMB-145EP,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1996
N14930,Corporation,EMBRAER,12/03/1997,EMB-145EP,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1997
N14933,Corporation,EMBRAER,10/20/1997,EMB-145EP,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1997
N14937,Corporation,EMBRAER,02/23/1998,EMB-145EP,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1997
N14938,Corporation,EMBRAER,02/23/1998,EMB-145EP,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1997
N14939,Corporation,EMBRAER,02/23/1998,EMB-145EP,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1997
N14940,Corporation,EMBRAER,02/23/1998,EMB-145EP,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1997
N14942,Corporation,EMBRAER,07/22/1998,EMB-145EP,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1997
N14943,Corporation,EMBRAER,07/22/1998,EMB-145EP,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1998
N14945,Corporation,EMBRAER,07/22/1998,EMB-145EP,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1998
N14947,Corporation,EMBRAER,07/22/1998,EMB-145EP,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1998
N14950,Corporation,EMBRAER,06/17/1999,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N14952,Corporation,EMBRAER,01/04/1999,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N14953,Corporation,EMBRAER,12/31/1998,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N14959,Corporation,EMBRAER,01/04/1999,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N14960,Corporation,EMBRAER,12/31/1998,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N14972,Corporation,EMBRAER,09/17/1999,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N14974,Corporation,EMBRAER,09/17/1999,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N14977,Corporation,EMBRAER,10/20/2000,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N14991,Corporation,EMBRAER,10/20/2000,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N14993,Corporation,EMBRAER,10/20/2000,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N14998,Corporation,EMBRAER,10/30/2000,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N149AT,Corporation,BOEING,07/16/2004,737-76N,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N1501P,Corporation,BOEING,04/22/1997,767-3P6,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1990
N152DL,Corporation,BOEING,02/26/1997,767-3P6,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1990
N153DL,Corporation,BOEING,02/14/1997,767-3P6,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1990
N154AW,Corporation,BOEING,08/25/1999,737-3G7,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1987
N154DL,Corporation,BOEING,05/01/1997,767-3P6,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1991
N154SF,Corporation,CANADAIR,01/13/2003,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1996
N15509,Corporation,EMBRAER,10/31/2000,EMB-135ER,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2000
N15527,Corporation,EMBRAER,04/05/2001,EMB-135LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N15555,Corporation,EMBRAER,06/07/2002,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,None
N15572,Corporation,EMBRAER,10/02/2002,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N15574,Corporation,EMBRAER,10/02/2002,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,None
N155AW,Corporation,BOEING,08/25/1999,737-3G7,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1987
N155DL,Corporation,BOEING,06/13/1997,767-3P6,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1991
N15659,Corporation,BOEING,02/04/2008,737-524,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N156AW,Corporation,BOEING,08/25/1999,737-3G7,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1987
N156DL,Corporation,BOEING,07/22/1997,767-3P6,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1991
N15710,Corporation,BOEING,09/01/1998,737-724,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1998
N15712,Corporation,BOEING,09/25/1998,737-724,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1998
N157AW,Corporation,BOEING,08/25/1999,737-3G7,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1987
N158AW,Corporation,BOEING,08/25/1999,737-3G7,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1987
N15910,Corporation,EMBRAER,06/20/2001,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N15912,Corporation,EMBRAER,05/24/2001,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N15926,Corporation,EMBRAER,11/29/1997,EMB-145EP,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1996
N15932,Corporation,EMBRAER,12/03/1997,EMB-145EP,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1997
N15941,Corporation,EMBRAER,02/25/1998,EMB-145EP,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1997
N15948,Corporation,EMBRAER,07/22/1998,EMB-145EP,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1998
N15973,Corporation,EMBRAER,09/17/1999,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N15980,Corporation,EMBRAER,10/20/2000,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N15983,Corporation,EMBRAER,10/20/2000,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N15985,Corporation,EMBRAER,10/30/2000,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N15986,Corporation,EMBRAER,10/20/2000,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N1602,Corporation,BOEING,01/25/1999,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N1603,Corporation,BOEING,02/08/1999,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N1604R,Corporation,BOEING,04/29/1999,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N1605,Corporation,BOEING,08/16/1999,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N16065,Corporation,BOEING,06/14/1999,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N1607B,Corporation,BOEING,04/24/2000,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N1608,Corporation,BOEING,04/24/2000,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N1609,Corporation,BOEING,04/26/2000,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N160AW,Corporation,BOEING,02/28/2006,737-3G7,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1988
N1610D,Corporation,BOEING,04/27/2000,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N16112,Corporation,EMBRAER,06/25/2003,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N1611B,Corporation,BOEING,05/16/2000,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N1612T,Corporation,BOEING,06/01/2001,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N1613B,Corporation,BOEING,08/13/2001,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N16147,Corporation,EMBRAER,09/10/2003,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
N16149,Corporation,EMBRAER,10/10/2003,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
N16151,Corporation,EMBRAER,11/12/2003,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
N16170,Corporation,EMBRAER,09/23/2004,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N16178,Corporation,EMBRAER,02/16/2005,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
N16183,Corporation,EMBRAER,05/18/2005,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
N161UW,Corporation,AIRBUS INDUSTRIE,01/18/2001,A321-211,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2001
N16217,Corporation,BOEING,08/03/1998,737-824,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N16234,Corporation,BOEING,08/06/1999,737-824,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N162UW,Corporation,AIRBUS INDUSTRIE,02/15/2001,A321-211,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2001
N16301,Corporation,BOEING,04/07/2006,737-3TO,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1985
N16310,Corporation,BOEING,09/26/1985,737-3TO,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1985
N16339,Corporation,BOEING,03/28/2001,737-3TO,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1987
N163US,Corporation,AIRBUS INDUSTRIE,03/01/2001,A321-211,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2001
N164AW,Corporation,BOEING,07/06/2006,737-33A,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1986
N16501,Corporation,EMBRAER,11/01/2000,EMB-135ER,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1999
N16502,Corporation,EMBRAER,11/01/2000,EMB-135ER,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1999
N16510,Corporation,EMBRAER,11/01/2000,EMB-135ER,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2000
N16511,Corporation,EMBRAER,10/31/2000,EMB-135ER,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2000
N16520,Corporation,EMBRAER,01/18/2001,EMB-135LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N16525,Corporation,EMBRAER,03/21/2001,EMB-135LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N16541,Corporation,EMBRAER,05/30/2002,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N16546,Corporation,EMBRAER,05/30/2002,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N16559,Corporation,EMBRAER,06/12/2002,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N16561,Corporation,EMBRAER,06/27/2002,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N16571,Corporation,EMBRAER,10/02/2002,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N165US,Corporation,AIRBUS INDUSTRIE,02/21/2001,A321-211,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2001
N16607,Corporation,BOEING,04/07/1994,737-524,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1994
N16617,null,null,null,null,null,null,null,null
N16618,Corporation,BOEING,09/27/1994,737-524,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1994
N16632,Corporation,BOEING,07/12/1995,737-524,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1995
N16642,Corporation,BOEING,09/18/1997,737-524,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1997
N16646,Corporation,BOEING,12/02/1997,737-524,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1997
N16647,Corporation,BOEING,11/25/1997,737-524,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1997
N16648,Corporation,BOEING,12/05/1997,737-524,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1997
N16649,Corporation,BOEING,12/22/1997,737-524,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1997
N16650,Corporation,BOEING,12/24/1997,737-524,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1997
N166AT,Corporation,BOEING,09/15/2004,737-7BD,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N166AW,Corporation,BOEING,07/06/2006,737-33A,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1986
N16701,Corporation,BOEING,03/30/1998,737-724,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1998
N16703,Corporation,BOEING,04/08/1998,737-724,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1998
N16709,Corporation,BOEING,09/01/1998,737-724,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1998
N16713,Corporation,BOEING,09/25/1998,737-724,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1998
N16732,Corporation,BOEING,08/25/1999,737-724,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1999
N167AT,Corporation,BOEING,10/12/2004,737-7BD,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N167US,Corporation,AIRBUS INDUSTRIE,03/26/2001,A321-211,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2001
N168AT,Corporation,BOEING,09/29/2004,737-76N,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N168AW,Corporation,BOEING,07/06/2006,737-33A,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1986
N16911,Corporation,EMBRAER,06/12/2001,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N16918,Corporation,EMBRAER,03/07/2001,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N16919,Corporation,EMBRAER,02/22/2001,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
N16927,Corporation,EMBRAER,11/29/1997,EMB-145EP,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1996
N16944,Corporation,EMBRAER,07/22/1998,EMB-145EP,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1998
N16951,Corporation,EMBRAER,01/04/1999,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N16954,Corporation,EMBRAER,01/04/1999,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N16961,Corporation,EMBRAER,06/17/1999,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N16963,Corporation,EMBRAER,06/17/1999,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N16976,Corporation,EMBRAER,10/20/2000,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N16981,Corporation,EMBRAER,10/20/2000,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N16987,Corporation,EMBRAER,10/20/2000,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N16999,Corporation,EMBRAER,10/30/2000,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
N169AT,Corporation,BOEING,11/16/2004,737-76N,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N169DZ,Corporation,BOEING,06/19/1998,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N169UW,Corporation,AIRBUS INDUSTRIE,03/22/2001,A321-211,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2001
N170US,Corporation,AIRBUS INDUSTRIE,05/21/2001,A321-211,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2001
N17104,Corporation,BOEING,08/01/1994,757-224,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1994
N17105,Corporation,BOEING,08/19/1994,757-224,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1994
N17108,Corporation,EMBRAER,06/25/2003,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N17115,Corporation,EMBRAER,06/26/2003,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N17122,Corporation,BOEING,08/14/1997,757-224,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1997
N17126,Corporation,BOEING,02/20/1998,757-224,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1998
N17128,Corporation,BOEING,03/20/1998,757-224,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1998
N17133,Corporation,BOEING,12/23/1998,757-224,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1998
N17138,Corporation,EMBRAER,05/28/2003,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
N17139,Corporation,BOEING,02/07/2000,757-224,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2000
N17146,Corporation,EMBRAER,08/25/2003,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
N17156,Corporation,CANADAIR,08/20/1997,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1996
N17159,Corporation,EMBRAER,03/17/2004,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N17169,Corporation,EMBRAER,09/01/2004,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N17175,Corporation,CANADAIR,01/07/1998,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1997
N17185,Corporation,EMBRAER,06/15/2005,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
N17196,Corporation,EMBRAER,12/14/2005,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
N171DN,Corporation,BOEING,06/12/1990,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1990
N171DZ,Corporation,BOEING,09/14/1998,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N171US,Corporation,AIRBUS INDUSTRIE,04/10/2001,A321-211,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2001
N17229,Corporation,BOEING,06/07/1999,737-824,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N17231,Corporation,CANADAIR,07/01/1999,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1998
N17233,Corporation,BOEING,07/27/1999,737-824,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N17244,Corporation,BOEING,11/03/1999,737-824,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N17245,Corporation,BOEING,11/08/1999,737-824,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N17275,Corporation,BOMBARDIER INC,12/28/1999,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N172DN,Corporation,BOEING,06/25/1990,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1990
N172DZ,Corporation,BOEING,09/25/1998,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N172US,Corporation,AIRBUS INDUSTRIE,04/24/2001,A321-211,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2001
N17321,Corporation,BOEING,02/17/2004,737-3TO,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1986
N17326,Corporation,BOEING,06/13/2008,737-3TO,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1986
N17328,Corporation,BOEING,08/08/1986,737-3TO,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1986
N17329,Corporation,BOEING,07/16/2004,737-3TO,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1986
N17337,Corporation,BOMBARDIER INC,07/03/2000,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N17344,Corporation,BOEING,04/17/2007,737-3TO,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1987
N17345,Corporation,BOEING,04/17/2007,737-3TO,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1987
N17356,Corporation,BOEING,09/02/2004,737-3TO,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1988
N17358,Corporation,BOMBARDIER INC,12/29/2000,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Fan,None
N173AT,Corporation,BOEING,01/03/2005,737-76N,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N173DN,Corporation,BOEING,07/03/1990,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1990
N173DZ,Corporation,BOEING,11/03/1998,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
